학교명,과목명,공식교과군
남원여고등학교,영어 발표와 토론,영어과
남원여고등학교,영어Ⅰ,영어과
남원여고등학교,영어Ⅱ,영어과
남원여고등학교,미술,예술과
남원여고등학교,미술 창작,예술과
남원여고등학교,음악,예술과
남원여고등학교,음악 연주와 창작,예술과
남원여고등학교,인공지능 기초,정보과
남원여고등학교,정보,정보과
남원여고등학교,일본어,제2외국어과
남원여고등학교,일본어 회화,제2외국어과
남원여고등학교,중국어,제2외국어과
남원여고등학교,중국어 회화,제2외국어과
남원여고등학교,스포츠 과학,체육과
남원여고등학교,스포츠 문화,체육과
남원여고등학교,스포츠 생활1,체육과
남원여고등학교,스포츠 생활2,체육과
남원여고등학교,체육1,체육과
남원여고등학교,체육2,체육과
남원예고등학교,과학탐구실험1,과학과
남원예고등학교,과학탐구실험2,과학과
남원예고등학교,기후변화와 환경생태,과학과
남원예고등학교,생명과학,과학과
남원예고등학교,통합과학1,과학과
남원예고등학교,통합과학2,과학과
남원예고등학교,삶과 종교,교양과
남원예고등학교,종교와 생활(고시외-광주),교양과
남원예고등학교,공통국어1,국어과
남원예고등학교,공통국어2,국어과
남원예고등학교,독서 토론과 글쓰기,국어과
남원예고등학교,독서와 작문,국어과
남원예고등학교,문학,국어과
남원예고등학교,화법과 언어,국어과
남원예고등학교,사회문제 탐구,사회과
남원예고등학교,사회와 문화,사회과
남원예고등학교,통합사회1,사회과
남원예고등학교,통합사회2,사회과
남원예고등학교,한국사1,사회과
남원예고등학교,한국사2,사회과
남원예고등학교,공통수학1,수학과
남원예고등학교,공통수학2,수학과
남원예고등학교,대수,수학과
남원예고등학교,미적분Ⅰ,수학과
남원예고등학교,공통영어1,영어과
남원예고등학교,공통영어2,영어과
남원예고등학교,실생활 영어 회화,영어과
남원예고등학교,영어 독해와 작문,영어과
남원예고등학교,영어Ⅰ,영어과
남원예고등학교,영어Ⅱ,영어과
남원예고등학교,인공지능 기초,정보과
남원예고등학교,정보,정보과
남원예고등학교,스포츠 과학,체육과
